"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1043","Авторизованный пользователь: проверка генерации номера заказа","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","441","Неавторизованный пользователь: проверка статус-кода 401","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","438","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","536","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","417","Создание дубликата: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","1005","Создание уникального пользователя: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","548","Логин с неверным логином и паролем: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","500","Авторизованный пользователь: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","399","Создание заказа с неверным хешем: проверка статус-кода 500","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","524","Логин под существующим пользователем: проверка токена в ответе","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","421","Неавторизованный пользователь: проверка генерации номера заказа","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","427","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","1021","Авторизованный пользователь: проверка поля success в ответе","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","485","Авторизованный пользователь: проверка поля success в ответе","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","1074","Авторизованный пользователь: проверка наличия имени бургера","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","427","Создание дубликата: проверка статус-кода 403","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","466","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","426","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","416","Изменение данных авторизованным пользователем: проверка обновленного значения в профиле","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","442","Изменение данных авторизованным пользователем: проверка обновленного значения в профиле","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","443","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","440","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","433","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","515","Логин с неверным логином и паролем: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","422","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","429","Неавторизованный пользователь: проверка поля success в ответе","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","538","Изменение данных авторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","544","Логин под существующим пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","443","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","515","Авторизованный пользователь: проверка, что orders является списком","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","550","Логин под существующим пользователем: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","425","Неавторизованный пользователь: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","474","Попытка изменения данных неавторизованным пользователем: проверка статус-кода 401","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","456","Попытка изменения данных неавторизованным пользователем: проверка статус-кода 401","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","473","Попытка изменения данных неавторизованным пользователем: проверка статус-кода 401","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","434","Создание дубликата: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","436","Попытка изменения данных неавторизованным пользователем: проверка поля success","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","571","Логин с неверным логином и паролем: проверка статус-кода","tests","2026-08-18","passed","2026-08-18","TestLoginUser","Логин пользователя","",""
"","431","Попытка изменения данных неавторизованным пользователем: проверка сообщения об ошибке","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","511","Создание пользователя без обязательного поля","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","443","Неавторизованный пользователь: проверка полей тела ответа","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","1058","Авторизованный пользователь: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","434","Неавторизованный пользователь: проверка полей тела ответа","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","439","Создание заказа без ингредиентов: проверка тела ответа","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","433","Создание заказа без ингредиентов: проверка тела ответа","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
"","517","Авторизованный пользователь: проверка наличия ключа orders в теле","tests","2026-08-18","passed","2026-08-18","TestGetOrders","Получение заказов пользователя","",""
"","498","Изменение данных авторизованным пользователем: проверка статус-кода 200","tests","2026-08-18","passed","2026-08-18","TestUpdateUser","Изменение данных пользователя","",""
"","1065","Создание уникального пользователя: проверка наличия токена","tests","2026-08-18","passed","2026-08-18","TestCreateUser","Создание пользователя","",""
"","394","Создание заказа без ингредиентов: проверка статус-кода 400","tests","2026-08-18","passed","2026-08-18","TestCreateOrder","Создание заказа","",""
